question,type,columns_used,column_types,sample_answer,dataset,float_answer,answer_coords
What is the maximum fare amount charged for a trip? Use the fare_amount columns to give a numerical answer. Use the fare_amount columns to give a numerical answer. Use the fare_amount columns to give a numerical answer. Use the fare_amount columns to give a numerical answer. Use the fare_amount columns to give a numerical answer. Use the fare_amount columns to give a numerical answer.,number,['fare_amount'],['number[double]'],40.8,004_Taxi.csv,40.8,"[(2, 3)]"
How many unique pickup locations are in the dataset? Use the PULocationID columns to give a numerical answer. Use the PULocationID columns to give a numerical answer. Use the PULocationID columns to give a numerical answer. Use the PULocationID columns to give a numerical answer. Use the PULocationID columns to give a numerical answer. Use the PULocationID columns to give a numerical answer.,number,['PULocationID'],['number[uint16]'],18,004_Taxi.csv,18.0,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (15, 8), (16, 8), (18, 8), (19, 8)]"
What is the average tip amount given by passengers? Use the tip_amount columns to give a numerical answer. Use the tip_amount columns to give a numerical answer. Use the tip_amount columns to give a numerical answer. Use the tip_amount columns to give a numerical answer. Use the tip_amount columns to give a numerical answer. Use the tip_amount columns to give a numerical answer.,number,['tip_amount'],['number[double]'],1.5,004_Taxi.csv,1.5,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (17, 7), (18, 7), (19, 7)]"
Which payment type is the most common in the dataset? Use the payment_type columns to give a categorical answer. Use the payment_type columns to give a categorical answer. Use the payment_type columns to give a categorical answer. Use the payment_type columns to give a categorical answer. Use the payment_type columns to give a categorical answer. Use the payment_type columns to give a categorical answer.,category,['payment_type'],['number[uint8]'],1,004_Taxi.csv,1.0,"[(0, 1), (1, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (11, 1), (12, 1), (13, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1)]"
Which vendor has the most trips recorded? Use the VendorID columns to give a categorical answer. Use the VendorID columns to give a categorical answer. Use the VendorID columns to give a categorical answer. Use the VendorID columns to give a categorical answer. Use the VendorID columns to give a categorical answer. Use the VendorID columns to give a categorical answer.,category,['VendorID'],['number[uint8]'],2,004_Taxi.csv,2.0,"[(1, 4), (2, 4), (3, 4), (4, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (12, 4), (13, 4), (17, 4)]"
What is the most common drop-off location? Use the DOLocationID columns to give a categorical answer. Use the DOLocationID columns to give a categorical answer. Use the DOLocationID columns to give a categorical answer. Use the DOLocationID columns to give a categorical answer. Use the DOLocationID columns to give a categorical answer. Use the DOLocationID columns to give a categorical answer.,category,['DOLocationID'],['number[uint16]'],90,004_Taxi.csv,90.0,"[(3, 5)]"
On which date did the first recorded trip occur? Use the tpep_pickup_datetime columns to give a categorical answer. Use the tpep_pickup_datetime columns to give a categorical answer. Use the tpep_pickup_datetime columns to give a categorical answer. Use the tpep_pickup_datetime columns to give a categorical answer. Use the tpep_pickup_datetime columns to give a categorical answer. Use the tpep_pickup_datetime columns to give a categorical answer.,category,['tpep_pickup_datetime'],"['date[ns, UTC]']",2023-02-01,004_Taxi.csv,,"[(0, 2)]"
What's the total number of unique agencies handling complaints? Use the agency columns to give a numerical answer. Use the agency columns to give a numerical answer. Use the agency columns to give a numerical answer. Use the agency columns to give a numerical answer. Use the agency columns to give a numerical answer. Use the agency columns to give a numerical answer.,number,['agency'],['category'],7,005_NYC.csv,7.0,"[(0, 5), (1, 5), (3, 5), (4, 5), (5, 5), (11, 5), (15, 5)]"
How many complaints were raised at midnight? Use the hour columns to give a numerical answer. Use the hour columns to give a numerical answer. Use the hour columns to give a numerical answer. Use the hour columns to give a numerical answer. Use the hour columns to give a numerical answer. Use the hour columns to give a numerical answer.,number,['hour'],['number[uint8]'],2,005_NYC.csv,2.0,"[(14, 6)]"
How many unique descriptors are present in the dataset? Use the descriptor columns to give a numerical answer. Use the descriptor columns to give a numerical answer. Use the descriptor columns to give a numerical answer. Use the descriptor columns to give a numerical answer. Use the descriptor columns to give a numerical answer. Use the descriptor columns to give a numerical answer.,number,['descriptor'],['category'],16,005_NYC.csv,16.0,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (8, 7), (9, 7), (10, 7), (11, 7), (13, 7), (14, 7), (15, 7), (18, 7), (19, 7)]"
Which borough has the most complaints? Use the borough columns to give a categorical answer. Use the borough columns to give a categorical answer. Use the borough columns to give a categorical answer. Use the borough columns to give a categorical answer. Use the borough columns to give a categorical answer. Use the borough columns to give a categorical answer.,category,['borough'],['category'],QUEENS,005_NYC.csv,,"[(1, 1)]"
Which month sees the highest number of complaints? Use the month_name columns to give a categorical answer. Use the month_name columns to give a categorical answer. Use the month_name columns to give a categorical answer. Use the month_name columns to give a categorical answer. Use the month_name columns to give a categorical answer. Use the month_name columns to give a categorical answer.,category,['month_name'],['category'],January,005_NYC.csv,,"[(4, 3)]"
Which weekday has the least complaints? Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer. Use the weekday_name columns to give a categorical answer.,category,['weekday_name'],['category'],Thursday,005_NYC.csv,,"[(17, 4)]"
Which agency is least frequently handling complaints? Use the agency columns to give a categorical answer. Use the agency columns to give a categorical answer. Use the agency columns to give a categorical answer. Use the agency columns to give a categorical answer. Use the agency columns to give a categorical answer. Use the agency columns to give a categorical answer.,category,['agency'],['category'],DOHMH,005_NYC.csv,,"[(4, 5)]"
How many unique clubs are there in the dataset? Use the Club<gx:category> columns to give a numerical answer. Use the Club<gx:category> columns to give a numerical answer. Use the Club<gx:category> columns to give a numerical answer. Use the Club<gx:category> columns to give a numerical answer. Use the Club<gx:category> columns to give a numerical answer. Use the Club<gx:category> columns to give a numerical answer.,number,['Club<gx:category>'],['category'],19,007_Fifa.csv,19.0,"[(0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11), (13, 11), (14, 11), (15, 11), (16, 11), (17, 11), (18, 11)]"
What is the highest value (in €) of a player in the dataset? Use the Value_€<gx:currency> columns to give a numerical answer. Use the Value_€<gx:currency> columns to give a numerical answer. Use the Value_€<gx:currency> columns to give a numerical answer. Use the Value_€<gx:currency> columns to give a numerical answer. Use the Value_€<gx:currency> columns to give a numerical answer. Use the Value_€<gx:currency> columns to give a numerical answer.,number,['Value_€<gx:currency>'],['number[uint32]'],13500000,007_Fifa.csv,13500000.0,"[(4, 10)]"
How many players have the position 'ST'? Use the Position<gx:category> columns to give a numerical answer. Use the Position<gx:category> columns to give a numerical answer. Use the Position<gx:category> columns to give a numerical answer. Use the Position<gx:category> columns to give a numerical answer. Use the Position<gx:category> columns to give a numerical answer. Use the Position<gx:category> columns to give a numerical answer.,number,['Position<gx:category>'],['category'],1,007_Fifa.csv,1.0,"[(11, 3)]"
What is the most common nationality in the dataset? Use the Nationality<gx:category> columns to give a categorical answer. Use the Nationality<gx:category> columns to give a categorical answer. Use the Nationality<gx:category> columns to give a categorical answer. Use the Nationality<gx:category> columns to give a categorical answer. Use the Nationality<gx:category> columns to give a categorical answer. Use the Nationality<gx:category> columns to give a categorical answer.,category,['Nationality<gx:category>'],['category'],Ghana,007_Fifa.csv,,"[(0, 8)]"
What is the most common preferred foot amongst players? Use the Preferred Foot<gx:category> columns to give a categorical answer. Use the Preferred Foot<gx:category> columns to give a categorical answer. Use the Preferred Foot<gx:category> columns to give a categorical answer. Use the Preferred Foot<gx:category> columns to give a categorical answer. Use the Preferred Foot<gx:category> columns to give a categorical answer. Use the Preferred Foot<gx:category> columns to give a categorical answer.,category,['Preferred Foot<gx:category>'],['category'],Right,007_Fifa.csv,,"[(0, 5), (1, 5), (2, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5), (13, 5), (16, 5), (17, 5)]"
Which club has the most players in the dataset? Use the Club<gx:category> columns to give a categorical answer. Use the Club<gx:category> columns to give a categorical answer. Use the Club<gx:category> columns to give a categorical answer. Use the Club<gx:category> columns to give a categorical answer. Use the Club<gx:category> columns to give a categorical answer. Use the Club<gx:category> columns to give a categorical answer.,category,['Club<gx:category>'],['category'],Lech Poznań,007_Fifa.csv,,"[(19, 11)]"
What is the most common position of players in the dataset? Use the Position<gx:category> columns to give a categorical answer. Use the Position<gx:category> columns to give a categorical answer. Use the Position<gx:category> columns to give a categorical answer. Use the Position<gx:category> columns to give a categorical answer. Use the Position<gx:category> columns to give a categorical answer. Use the Position<gx:category> columns to give a categorical answer.,category,['Position<gx:category>'],['category'],SUB,007_Fifa.csv,,"[(2, 3)]"
How many unique states are represented in the dataset? Use the st columns to give a numerical answer. Use the st columns to give a numerical answer. Use the st columns to give a numerical answer. Use the st columns to give a numerical answer. Use the st columns to give a numerical answer. Use the st columns to give a numerical answer.,number,[st],['category'],12,008_Tornados.csv,12.0,"[(0, 6), (1, 6), (2, 6), (3, 6), (4, 6), (7, 6), (8, 6), (9, 6), (12, 6), (15, 6), (16, 6), (18, 6)]"
What is the highest magnitude of tornado recorded in the dataset? Use the mag columns to give a numerical answer. Use the mag columns to give a numerical answer. Use the mag columns to give a numerical answer. Use the mag columns to give a numerical answer. Use the mag columns to give a numerical answer. Use the mag columns to give a numerical answer.,number,[mag],['number[int8]'],2,008_Tornados.csv,2.0,"[(10, 3)]"
What is the longest length of a tornado path in the dataset? Use the len columns to give a numerical answer. Use the len columns to give a numerical answer. Use the len columns to give a numerical answer. Use the len columns to give a numerical answer. Use the len columns to give a numerical answer. Use the len columns to give a numerical answer.,number,[len],['number[double]'],72.2,008_Tornados.csv,72.2,"[(11, 7)]"
What is the maximum number of injuries caused by a single tornado? Use the inj columns to give a numerical answer. Use the inj columns to give a numerical answer. Use the inj columns to give a numerical answer. Use the inj columns to give a numerical answer. Use the inj columns to give a numerical answer. Use the inj columns to give a numerical answer.,number,[inj],['number[uint16]'],3,008_Tornados.csv,3.0,"[(16, 4)]"
Which state has experienced the most tornadoes? Use the st columns to give a categorical answer. Use the st columns to give a categorical answer. Use the st columns to give a categorical answer. Use the st columns to give a categorical answer. Use the st columns to give a categorical answer. Use the st columns to give a categorical answer.,category,[st],['category'],IL,008_Tornados.csv,,"[(4, 6)]"
In which month do most tornadoes occur? Use the mo columns to give a categorical answer. Use the mo columns to give a categorical answer. Use the mo columns to give a categorical answer. Use the mo columns to give a categorical answer. Use the mo columns to give a categorical answer. Use the mo columns to give a categorical answer.,category,[mo],['number[uint8]'],6,008_Tornados.csv,6.0,"[(6, 5)]"
On what date did the most destructive tornado (by injuries) occur? Use the date and  inj columns to give a categorical answer. Use the date and  inj columns to give a categorical answer. Use the date and  inj columns to give a categorical answer. Use the date and  inj columns to give a categorical answer. Use the date and  inj columns to give a categorical answer. Use the date and  inj columns to give a categorical answer.,category,"[date, inj]","['date[ns, UTC]', 'number[uint16]']",1973-03-15,008_Tornados.csv,,"[(16, 0)]"
On what date did the longest tornado (by path length) occur? Use the date and  len columns to give a categorical answer. Use the date and  len columns to give a categorical answer. Use the date and  len columns to give a categorical answer. Use the date and  len columns to give a categorical answer. Use the date and  len columns to give a categorical answer. Use the date and  len columns to give a categorical answer.,category,"[date, len]","['date[ns, UTC]', 'number[double]']",1955-06-04,008_Tornados.csv,,"[(11, 0)]"
What is the highest recorded precipitation in inches? Use the PRCP columns to give a numerical answer. Use the PRCP columns to give a numerical answer. Use the PRCP columns to give a numerical answer. Use the PRCP columns to give a numerical answer. Use the PRCP columns to give a numerical answer. Use the PRCP columns to give a numerical answer.,number,[PRCP],['number[double]'],0.66,009_Central.csv,0.66,"[(2, 1)]"
What is the lowest minimum temperature recorded? Use the TMIN columns to give a numerical answer. Use the TMIN columns to give a numerical answer. Use the TMIN columns to give a numerical answer. Use the TMIN columns to give a numerical answer. Use the TMIN columns to give a numerical answer. Use the TMIN columns to give a numerical answer.,number,[TMIN],['number[Int8]'],-13.0,009_Central.csv,-13.0,"[(6, 0)]"
What is the highest maximum temperature recorded? Use the TMAX columns to give a numerical answer. Use the TMAX columns to give a numerical answer. Use the TMAX columns to give a numerical answer. Use the TMAX columns to give a numerical answer. Use the TMAX columns to give a numerical answer. Use the TMAX columns to give a numerical answer.,number,[TMAX],['number[UInt8]'],81.0,009_Central.csv,81.0,"[(2, 4)]"
What is the deepest recorded snow depth in inches? Use the SNWD columns to give a numerical answer. Use the SNWD columns to give a numerical answer. Use the SNWD columns to give a numerical answer. Use the SNWD columns to give a numerical answer. Use the SNWD columns to give a numerical answer. Use the SNWD columns to give a numerical answer.,number,[SNWD],['number[UInt8]'],4.0,009_Central.csv,4.0,"[(1, 3)]"
On which date was the highest precipitation recorded? Use the DATE and  PRCP columns to give a categorical answer. Use the DATE and  PRCP columns to give a categorical answer. Use the DATE and  PRCP columns to give a categorical answer. Use the DATE and  PRCP columns to give a categorical answer. Use the DATE and  PRCP columns to give a categorical answer. Use the DATE and  PRCP columns to give a categorical answer.,category,"[DATE, PRCP]","['date[ns, UTC]', 'number[double]']",1891-07-24,009_Central.csv,,"[(2, 2)]"
On which date was the lowest minimum temperature recorded? Use the DATE and  TMIN columns to give a categorical answer. Use the DATE and  TMIN columns to give a categorical answer. Use the DATE and  TMIN columns to give a categorical answer. Use the DATE and  TMIN columns to give a categorical answer. Use the DATE and  TMIN columns to give a categorical answer. Use the DATE and  TMIN columns to give a categorical answer.,category,"[DATE, TMIN]","['date[ns, UTC]', 'number[Int8]']",1917-12-30,009_Central.csv,,"[(6, 2)]"
On which date was the highest maximum temperature recorded? Use the DATE and  TMAX columns to give a categorical answer. Use the DATE and  TMAX columns to give a categorical answer. Use the DATE and  TMAX columns to give a categorical answer. Use the DATE and  TMAX columns to give a categorical answer. Use the DATE and  TMAX columns to give a categorical answer. Use the DATE and  TMAX columns to give a categorical answer.,category,"[DATE, TMAX]","['date[ns, UTC]', 'number[UInt8]']",1891-07-24,009_Central.csv,,"[(2, 2)]"
On which date was the deepest snow depth recorded? Use the DATE and  SNWD columns to give a categorical answer. Use the DATE and  SNWD columns to give a categorical answer. Use the DATE and  SNWD columns to give a categorical answer. Use the DATE and  SNWD columns to give a categorical answer. Use the DATE and  SNWD columns to give a categorical answer. Use the DATE and  SNWD columns to give a categorical answer.,category,"[DATE, SNWD]","['date[ns, UTC]', 'number[UInt8]']",1945-02-03,009_Central.csv,,"[(1, 2)]"
What is the average age of the reviewers? Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer.,number,[Age],['number[uint8]'],39.65,010_ECommerce.csv,39.65,"[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2), (16, 2), (17, 2), (18, 2), (19, 2)]"
What's the highest number of positive feedback received for a review? Use the Positive Feedback Count columns to give a numerical answer. Use the Positive Feedback Count columns to give a numerical answer. Use the Positive Feedback Count columns to give a numerical answer. Use the Positive Feedback Count columns to give a numerical answer. Use the Positive Feedback Count columns to give a numerical answer. Use the Positive Feedback Count columns to give a numerical answer.,number,[Positive Feedback Count],['number[uint8]'],19,010_ECommerce.csv,19.0,"[(0, 0)]"
What is the most common rating given by reviewers? Use the Rating columns to give a numerical answer. Use the Rating columns to give a numerical answer. Use the Rating columns to give a numerical answer. Use the Rating columns to give a numerical answer. Use the Rating columns to give a numerical answer. Use the Rating columns to give a numerical answer.,number,[Rating],['number[uint8]'],5,010_ECommerce.csv,5.0,"[(4, 5)]"
How many unique clothing items are there in the dataset? Use the Clothing ID columns to give a numerical answer. Use the Clothing ID columns to give a numerical answer. Use the Clothing ID columns to give a numerical answer. Use the Clothing ID columns to give a numerical answer. Use the Clothing ID columns to give a numerical answer. Use the Clothing ID columns to give a numerical answer.,number,[Clothing ID],['number[uint16]'],20,010_ECommerce.csv,20.0,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1)]"
Which department has the most reviews? Use the Department Name columns to give a categorical answer. Use the Department Name columns to give a categorical answer. Use the Department Name columns to give a categorical answer. Use the Department Name columns to give a categorical answer. Use the Department Name columns to give a categorical answer. Use the Department Name columns to give a categorical answer.,category,['Department Name'],['category'],Dresses,010_ECommerce.csv,,"[(0, 3)]"
Which class of clothing is most commonly reviewed? Use the Class Name columns to give a categorical answer. Use the Class Name columns to give a categorical answer. Use the Class Name columns to give a categorical answer. Use the Class Name columns to give a categorical answer. Use the Class Name columns to give a categorical answer. Use the Class Name columns to give a categorical answer.,category,['Class Name'],['category'],Dresses,010_ECommerce.csv,,"[(0, 4)]"
Which division is most commonly mentioned in the reviews? Use the Division Name columns to give a categorical answer. Use the Division Name columns to give a categorical answer. Use the Division Name columns to give a categorical answer. Use the Division Name columns to give a categorical answer. Use the Division Name columns to give a categorical answer. Use the Division Name columns to give a categorical answer.,category,['Division Name'],['category'],General,010_ECommerce.csv,,"[(0, 6)]"
What is the most frequently reviewed clothing item? If you find a tie answer with row order. Use the Clothing ID columns to give a categorical answer. Use the Clothing ID columns to give a categorical answer. Use the Clothing ID columns to give a categorical answer. Use the Clothing ID columns to give a categorical answer. Use the Clothing ID columns to give a categorical answer. Use the Clothing ID columns to give a categorical answer.,category,['Clothing ID'],['number[uint16]'],1095,010_ECommerce.csv,1095.0,"[(0, 1)]"
How many unique types of incident categories are there in the dataset? Use the Incident Category columns to give a numerical answer. Use the Incident Category columns to give a numerical answer. Use the Incident Category columns to give a numerical answer. Use the Incident Category columns to give a numerical answer. Use the Incident Category columns to give a numerical answer. Use the Incident Category columns to give a numerical answer.,number,[Incident Category],['category'],11,011_SF.csv,11.0,"[(0, 1), (2, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (13, 1), (16, 1), (18, 1), (19, 1)]"
What's the total number of incidents reported online? Use the Filed Online columns to give a numerical answer. Use the Filed Online columns to give a numerical answer. Use the Filed Online columns to give a numerical answer. Use the Filed Online columns to give a numerical answer. Use the Filed Online columns to give a numerical answer. Use the Filed Online columns to give a numerical answer.,number,[Filed Online],['boolean'],1,011_SF.csv,1.0,"[(5, 9)]"
How many different police districts are there in the dataset? Use the Police District columns to give a numerical answer. Use the Police District columns to give a numerical answer. Use the Police District columns to give a numerical answer. Use the Police District columns to give a numerical answer. Use the Police District columns to give a numerical answer. Use the Police District columns to give a numerical answer.,number,[Police District],['category'],9,011_SF.csv,9.0,"[(0, 7), (1, 7), (3, 7), (4, 7), (5, 7), (8, 7), (9, 7), (10, 7), (14, 7)]"
What is the average incident count per year? Use the Incident Year columns to give a numerical answer. Use the Incident Year columns to give a numerical answer. Use the Incident Year columns to give a numerical answer. Use the Incident Year columns to give a numerical answer. Use the Incident Year columns to give a numerical answer. Use the Incident Year columns to give a numerical answer.,number,[Incident Year],['number[uint16]'],3.3333333333333335,011_SF.csv,3.333333333333333,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (19, 8)]"
What is the most common incident category? Use the Incident Category columns to give a categorical answer. Use the Incident Category columns to give a categorical answer. Use the Incident Category columns to give a categorical answer. Use the Incident Category columns to give a categorical answer. Use the Incident Category columns to give a categorical answer. Use the Incident Category columns to give a categorical answer.,category,[Incident Category],['category'],Larceny Theft,011_SF.csv,,"[(2, 1)]"
Which day of the week has the highest number of incidents? Use the Incident Day of Week columns to give a categorical answer. Use the Incident Day of Week columns to give a categorical answer. Use the Incident Day of Week columns to give a categorical answer. Use the Incident Day of Week columns to give a categorical answer. Use the Incident Day of Week columns to give a categorical answer. Use the Incident Day of Week columns to give a categorical answer.,category,[Incident Day of Week],['category'],Saturday,011_SF.csv,,"[(5, 4)]"
What is the most common resolution for incidents reported online? Use the Filed Online and  Resolution columns to give a categorical answer. Use the Filed Online and  Resolution columns to give a categorical answer. Use the Filed Online and  Resolution columns to give a categorical answer. Use the Filed Online and  Resolution columns to give a categorical answer. Use the Filed Online and  Resolution columns to give a categorical answer. Use the Filed Online and  Resolution columns to give a categorical answer.,category,"[Filed Online, Resolution]","['boolean', 'category']",Open or Active,011_SF.csv,,"[(5, 6)]"
What is the Police District with the most incidents? Use the Police District columns to give a categorical answer. Use the Police District columns to give a categorical answer. Use the Police District columns to give a categorical answer. Use the Police District columns to give a categorical answer. Use the Police District columns to give a categorical answer. Use the Police District columns to give a categorical answer.,category,[Police District],['category'],Northern,011_SF.csv,,"[(4, 7)]"
What is the maximum age of patients in the dataset? Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer.,number,['Age'],['number[uint8]'],69,012_Heart.csv,69.0,"[(7, 1)]"
What is the minimum resting blood pressure among the patients? Use the RestingBP columns to give a numerical answer. Use the RestingBP columns to give a numerical answer. Use the RestingBP columns to give a numerical answer. Use the RestingBP columns to give a numerical answer. Use the RestingBP columns to give a numerical answer. Use the RestingBP columns to give a numerical answer.,number,['RestingBP'],['number[uint8]'],95,012_Heart.csv,95.0,"[(17, 2)]"
What is the average cholesterol level in the dataset? Use the Cholesterol columns to give a numerical answer. Use the Cholesterol columns to give a numerical answer. Use the Cholesterol columns to give a numerical answer. Use the Cholesterol columns to give a numerical answer. Use the Cholesterol columns to give a numerical answer. Use the Cholesterol columns to give a numerical answer.,number,['Cholesterol'],['number[uint16]'],207.8,012_Heart.csv,207.8,"[(0, 0), (1, 0), (4, 0), (5, 0), (7, 0), (8, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (16, 0), (18, 0), (19, 0)]"
What is the standard deviation of maximum heart rate among the patients? Use the MaxHR columns to give a numerical answer. Use the MaxHR columns to give a numerical answer. Use the MaxHR columns to give a numerical answer. Use the MaxHR columns to give a numerical answer. Use the MaxHR columns to give a numerical answer. Use the MaxHR columns to give a numerical answer.,number,['MaxHR'],['number[uint8]'],27.360170821258063,012_Heart.csv,27.360170821258063,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (17, 7), (18, 7), (19, 7)]"
What is the most common chest pain type among patients? Use the ChestPainType columns to give a categorical answer. Use the ChestPainType columns to give a categorical answer. Use the ChestPainType columns to give a categorical answer. Use the ChestPainType columns to give a categorical answer. Use the ChestPainType columns to give a categorical answer. Use the ChestPainType columns to give a categorical answer.,category,['ChestPainType'],['category'],ASY,012_Heart.csv,,"[(2, 5)]"
What is the least common resting electrocardiographic result? Use the RestingECG columns to give a categorical answer. Use the RestingECG columns to give a categorical answer. Use the RestingECG columns to give a categorical answer. Use the RestingECG columns to give a categorical answer. Use the RestingECG columns to give a categorical answer. Use the RestingECG columns to give a categorical answer.,category,['RestingECG'],['category'],ST,012_Heart.csv,,"[(2, 6)]"
